1,구로호텔
2,구로디지털타워
3,구로디지털로
4,구로에이스
5,구로하이엔드
6,신림DT
7,신세계아이앤씨
8,가산그레이트
9,W-Mall
10,독산사거리
11,역삼아레나빌딩
12,논현역사거리
13,신사역성일빌딩
14,국기원사거리
15,스탈릿대치R
16,봉은사역
17,압구정윤성빌딩
18,코엑스별마당
19,삼성역섬유센터R
20,압구정R
21,수서역R
22,양재강남빌딩R
23,선릉동신빌딩R
24,봉은사로선정릉
25,강남오거리
26,스타필드코엑스몰R
27,강남구청정문
28,도곡공원
29,강남R
30,대치은마사거리
31,청담영동대로
32,압구정
33,신사가로수
34,청담스타R
35,강남우성
36,학동사거리
37,대치사거리
38,포스코사거리
39,을지병원사거리
40,신사역
41,도곡역
42,서울세관사거리
43,청담사거리
44,한티역
45,역삼초교사거리
46,코엑스몰
47,가로수길
48,역삼대로
49,역삼포스코
50,강남대로
51,청담
52,삼성도심공항
53,삼성교
54,학동역
55,대치
56,기술센터
57,SSG마켓도곡R
58,삼성
59,선릉세화빌딩
60,압구정역
61,압구정로
62,구역삼사거리
63,큰길타워
64,강남구청역
65,대치역
66,포이
67,아크플레이스
68,학여울역
69,선정릉역
70,삼성현대힐
71,GS타워
72,압구정미소
73,선릉역
74,수서
75,코엑스사거리
76,역삼럭키
77,차병원사거리
78,청담공원
79,신압구정
80,아크로힐스논현
81,뱅뱅사거리
82,강남비젼타워
83,역삼역
84,압구정로데오역
85,르네상스사거리
86,포스코
87,선릉로
88,삼성역
89,논현힐탑
90,도산가로수길
91,미아뉴타운
92,강북구청사거리
93,미아사거리역
94,수유역
95,미아역
96,발산역사거리
97,마곡역
98,우장산역
99,마곡사이언스타워R
100,방화DT
101,마곡나루역
102,마곡GMG
103,가양역
104,화곡DT
105,양천향교역
106,화곡동
107,등촌
108,염창역
109,발산역
110,가양이마트
111,까치산역
112,낙성대역
113,관악서울대입구R
114,서울대역
115,낙성대DT
116,사당
117,보라매대교
118,신림사거리
119,신림
120,신림역포도몰
121,서울대입구역
122,건국대
123,어린이대공원역
124,아차산역
125,올림픽대교북단
126,구의DT
127,자양사거리
128,군자역
129,광나루
130,건대스타시티
131,자양
132,강변역
133,건대입구
134,구의역
135,광장
136,건국클래식
137,금천구청역
138,가산에스케이
139,금천시흥
140,가산디지털단지역
141,금천독산
142,가산디지털
143,마리오아울렛
144,가산브이타워
145,월계역
146,월계트레이더스
147,상계초교사거리
148,공릉DT
149,노원마들역
150,공릉역
151,서울여대
152,은행사거리
153,노원KT
154,광운대
155,중계역
156,노원역
157,월계이마트
158,창동이마트
159,쌍문역
160,노량진동
161,남성역
162,상도역
163,보라매공원R
164,이수자이
165,노량진역
166,신대방삼거리역
167,중앙대
168,숭실대입구역
169,숭실대
170,사당역
171,서강대프라자
